date,irrigated,rainfeed,seed_type
January 1 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 2 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 3 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 4 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 5 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 6 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 7 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 8 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 9 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 10 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 11 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 12 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 13 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 14 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 15 2023,395.7566666666667,233.16400000000002,Tagged Seeds (FS/ RS/CS)
January 16 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 17 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 18 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 19 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 20 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 21 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 22 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 23 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 24 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 25 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 26 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 27 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 28 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 29 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 30 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
January 31 2023,591.92,545.581875,Tagged Seeds (FS/ RS/CS)
February 1 2023,763.3259999999999,490.73199999999997,Tagged Seeds (FS/ RS/CS)
February 2 2023,763.3259999999999,490.73199999999997,Tagged Seeds (FS/ RS/CS)
February 3 2023,763.3259999999999,490.73199999999997,Tagged Seeds (FS/ RS/CS)
February 4 2023,763.3259999999999,490.73199999999997,Tagged Seeds (FS/ RS/CS)
February 5 2023,763.3259999999999,490.73199999999997,Tagged Seeds (FS/ RS/CS)
February 6 2023,763.3259999999999,490.73199999999997,Tagged Seeds (FS/ RS/CS)
February 7 2023,763.3259999999999,490.73199999999997,Tagged Seeds (FS/ RS/CS)
February 8 2023,763.3259999999999,490.73199999999997,Tagged Seeds (FS/ RS/CS)
February 9 2023,763.3259999999999,490.73199999999997,Tagged Seeds (FS/ RS/CS)
February 10 2023,763.3259999999999,490.73199999999997,Tagged Seeds (FS/ RS/CS)
February 11 2023,763.3259999999999,490.73199999999997,Tagged Seeds (FS/ RS/CS)
